name,rank,count
CASTELLANOS,1138,30859
TILLMAN,1139,30825
ALFORD,1140,30771
FINCH,1141,30769
MCLEOD,1141,30769
MACKEY,1143,30749
DODD,1144,30732
EMERSON,1145,30702
MINOR,1145,30702
MUNIZ,1147,30695
ALSTON,1148,30693
MALONEY,1149,30671
CHILDERS,1150,30570
MCDERMOTT,1151,30528
MOSER,1152,30483
VOGEL,1153,30470
MCCABE,1154,30401
DANG,1155,30389
ALONSO,1155,30389
SAUCEDO,1157,30374
STARR,1158,30363
DO,1159,30301
HURTADO,1160,30286
KIRKLAND,1161,30283
HENDRICKSON,1162,30259
HOLLEY,1163,30231
CORDERO,1164,30158
FRANKS,1165,30155
GUILLEN,1166,30153
WELSH,1166,30153
RATLIFF,1168,30083
SWEET,1169,30051
TALLEY,1170,30014
WHITFIELD,1171,29962
CROWE,1172,29953
GOLDSTEIN,1173,29938
ENGLAND,1174,29926
PEREIRA,1175,29898
LY,1176,29891
JOYNER,1177,29884
RICHTER,1178,29880
FARRIS,1179,29877
TRACY,1180,29867
BACON,1181,29860
HAN,1182,29847
GIBBONS,1183,29824
MAYFIELD,1184,29805
HOANG,1185,29798
ELDER,1186,29796
LAU,1187,29792
DALE,1188,29757
CAMP,1189,29753
CONNOLLY,1190,29710
HEWITT,1191,29694
CRAMER,1192,29691
GOLDBERG,1193,29603
MORIN,1194,29593
SUTHERLAND,1195,29585
KAPLAN,1196,29582
MCALLISTER,1197,29544
BYRNE,1198,29503
OSORIO,1199,29482
CASH,1200,29476
HAINES,1201,29462
MEEKS,1202,29457
WYNN,1203,29417
GILLIAM,1204,29414
VIGIL,1205,29382
HICKEY,1206,29350
CONNOR,1207,29346
PATE,1208,29327
ZEPEDA,1209,29252
HATCHER,1210,29235
ESCOBEDO,1211,29185
ARREDONDO,1212,29173
HYDE,1213,29094
CHRISTOPHER,1214,29067
MOBLEY,1215,29065
KESSLER,1216,29064
BRITTON,1217,29040
RITCHIE,1217,29040
ROMANO,1219,29018
ONEIL,1220,28949
TYSON,1221,28947
BUI,1222,28919
HILTON,1223,28918
CABALLERO,1224,28903
DOWNING,1225,28880
SHARPE,1226,28879
GUY,1227,28852
HOLCOMB,1227,28852
RANKIN,1229,28821
GODFREY,1230,28734
CHAMBERLAIN,1231,28727
FINK,1232,28701
HOLLIS,1233,28617
FOREMAN,1234,28605
CARRANZA,1235,28581
SHARMA,1236,28559
KERN,1237,28547
CHU,1238,28508
KNOWLES,1239,28460
MA,1240,28452
MADISON,1241,28411
CHILDS,1242,28359
BELCHER,1243,28321
WILLS,1244,28219
WOMACK,1245,28201
