City,Population2010,Rank
"Loxahatchee Groves town, Florida",3180,5940
"Cactus city, Texas",3179,5941
"Kingman city, Kansas",3177,5942
"Warrior city, Alabama",3176,5943
"Juno Beach town, Florida",3176,5944
"East Prairie city, Missouri",3176,5945
"Sumner city, Illinois",3174,5946
"Trafford borough, Pennsylvania",3174,5947
"Hubbard city, Oregon",3173,5948
"Hiawatha city, Kansas",3172,5949
"Tallapoosa city, Georgia",3170,5950
"Mount Pocono borough, Pennsylvania",3170,5951
"Roland town, Oklahoma",3169,5952
"Algoma city, Wisconsin",3167,5953
"Reno city (Lamar County), Texas",3166,5954
"Severance town, Colorado",3165,5955
"Barbourville city, Kentucky",3165,5956
"St. James town, North Carolina",3165,5957
"Homestead borough, Pennsylvania",3165,5958
"Cherry Valley village, Illinois",3162,5959
"Dundee city, Oregon",3162,5960
"Edcouch city, Texas",3161,5961
"Red Bay city, Alabama",3158,5962
"Gentry city, Arkansas",3158,5963
"Greenwood Lake village, New York",3154,5964
"Port Washington North village, New York",3154,5965
"Saddle River borough, New Jersey",3152,5966
"New Britain borough, Pennsylvania",3152,5967
"Franklin village, Michigan",3150,5968
"Pleasant Valley city, West Virginia",3149,5969
"Crestview Hills city, Kentucky",3148,5970
"Bellows Falls village, Vermont",3148,5971
"Brillion city, Wisconsin",3148,5972
"Shannon Hills city, Arkansas",3143,5973
"Orofino city, Idaho",3142,5974
"Robins city, Iowa",3142,5975
"Grangeville city, Idaho",3141,5976
"Henrietta city, Texas",3141,5977
"Williston town, South Carolina",3139,5978
"Grand Saline city, Texas",3136,5979
"Bishop city, Texas",3134,5980
"Garner city, Iowa",3129,5981
"Bad Axe city, Michigan",3129,5982
"Pickens city, South Carolina",3126,5983
"Piney Point Village city, Texas",3125,5984
"Licking city, Missouri",3124,5985
"Lead city, South Dakota",3124,5986
"Stamford city, Texas",3124,5987
"Calais city, Maine",3123,5988
"Berwyn Heights town, Maryland",3123,5989
"Pine City city, Minnesota",3123,5990
"Corydon town, Indiana",3122,5991
"Beulah city, North Dakota",3121,5992
"Millen city, Georgia",3120,5993
"Ellsworth city, Kansas",3120,5994
"Weaverville town, North Carolina",3120,5995
"Jefferson village, Ohio",3120,5996
"Orchard City town, Colorado",3119,5997
"Wright City city, Missouri",3119,5998
"River Bend town, North Carolina",3119,5999
"Clare city, Michigan",3118,6000
"Edgewood borough, Pennsylvania",3118,6001
"Bushnell city, Illinois",3117,6002
"Laguna Vista town, Texas",3117,6003
"New Madrid city, Missouri",3116,6004
"Soperton city, Georgia",3115,6005
"Flat Rock village, North Carolina",3114,6006
"Salmon city, Idaho",3112,6007
"Beaver city, Utah",3112,6008
"Deer Lodge city, Montana",3111,6009
"King City city, Oregon",3111,6010
"Southampton village, New York",3109,6011
"Landis town, North Carolina",3109,6012
"Fairport Harbor village, Ohio",3109,6013
"Crystal River city, Florida",3108,6014
"Atoka city, Oklahoma",3107,6015
"Elma city, Washington",3107,6016
"Mount Penn borough, Pennsylvania",3106,6017
"Girard borough, Pennsylvania",3104,6018
"Brightwaters village, New York",3103,6019
"Pomona village, New York",3103,6020
"Delta village, Ohio",3103,6021
"Melbourne Beach town, Florida",3101,6022
"Chickamauga city, Georgia",3101,6023
"Winnebago village, Illinois",3101,6024
"Chandler city, Oklahoma",3100,6025
"Orwigsburg borough, Pennsylvania",3099,6026
"San Saba city, Texas",3099,6027
"Jefferson city, Oregon",3098,6028
"Manistique city, Michigan",3097,6029
"Hamilton city, Texas",3095,6030
"Somerville town, Tennessee",3094,6031
"Heyburn city, Idaho",3089,6032
"Walton village, New York",3088,6033
"Delhi village, New York",3087,6034
"Hilliard town, Florida",3086,6035
"Mount Morris city, Michigan",3086,6036
"Galena city, Kansas",3085,6037
"Buffalo city, Missouri",3084,6038
"East Syracuse village, New York",3084,6039
"Parker town, Arizona",3083,6040
"Hideaway city, Texas",3083,6041
"Rush City city, Minnesota",3079,6042
"Buckner city, Missouri",3076,6043
"Mannford town, Oklahoma",3076,6044
"Madison city, West Virginia",3076,6045
"Cottleville city, Missouri",3075,6046
"Macungie borough, Pennsylvania",3074,6047
"Rogersville city, Missouri",3073,6048
"Midland town, North Carolina",3073,6049
"Wyoming borough, Pennsylvania",3073,6050
"Sherrill city, New York",3071,6051
"Wormleysburg borough, Pennsylvania",3070,6052
"Nevada City city, California",3068,6053
"Walsenburg city, Colorado",3068,6054
"Williamsburg city, Iowa",3068,6055
"Lakemore village, Ohio",3068,6056
"Bandon city, Oregon",3066,6057
"West Lake Hills city, Texas",3063,6058
"Cashmere city, Washington",3063,6059
"Savanna city, Illinois",3062,6060
"Myerstown borough, Pennsylvania",3062,6061
"Hollywood Park town, Texas",3062,6062
"Hogansville city, Georgia",3060,6063
"Soda Springs city, Idaho",3058,6064
"Proctor city, Minnesota",3057,6065
"Canton city, South Dakota",3057,6066
"Biscayne Park village, Florida",3055,6067
"Woodbury Heights borough, New Jersey",3055,6068
"Warsaw town, North Carolina",3054,6069
"Doylestown village, Ohio",3051,6070
"Youngwood borough, Pennsylvania",3050,6071
"Lodi city, Wisconsin",3050,6072
"Oak Ridge North city, Texas",3049,6073
"Yerington city, Nevada",3048,6074
"Carolina Shores town, North Carolina",3048,6075
"Taft city, Texas",3048,6076
"North Barrington village, Illinois",3047,6077
"Wallburg town, North Carolina",3047,6078
"Brentwood town, Maryland",3046,6079
"Van Alstyne city, Texas",3046,6080
"Mohnton borough, Pennsylvania",3043,6081
"Karnes City city, Texas",3042,6082
"Genoa City village, Wisconsin",3042,6083
"Grantville city, Georgia",3041,6084
"Marion city, Kentucky",3039,6085
"Sloatsburg village, New York",3039,6086
"Weaver city, Alabama",3038,6087
"McSherrystown borough, Pennsylvania",3038,6088
"Floydada city, Texas",3038,6089
"Benton City city, Washington",3038,6090
"New Tazewell town, Tennessee",3037,6091
"National Park borough, New Jersey",3036,6092
"Wilder city, Kentucky",3035,6093
"Mabank town, Texas",3035,6094
"Shavano Park city, Texas",3035,6095
"Tishomingo city, Oklahoma",3034,6096
"Summit Hill borough, Pennsylvania",3034,6097
"Nocona city, Texas",3033,6098
"Ponce Inlet town, Florida",3032,6099
"Lake City borough, Pennsylvania",3031,6100
"Iron River city, Michigan",3029,6101
"Iuka city, Mississippi",3028,6102
"Sonora city, Texas",3027,6103
"Millersburg village, Ohio",3025,6104
"Williams city, Arizona",3023,6105
"Walbridge village, Ohio",3019,6106
"Brazoria city, Texas",3019,6107
"Cornwall-on-Hudson village, New York",3018,6108
"Atkins city, Arkansas",3016,6109
"Algona city, Washington",3014,6110
"Churchill borough, Pennsylvania",3011,6111
"Mangum city, Oklahoma",3010,6112
"Thermopolis town, Wyoming",3009,6113
"Clayton town, Alabama",3008,6114
"Village of Grosse Pointe Shores city, Michigan",3008,6115
"Penbrook borough, Pennsylvania",3008,6116
"Ruleville city, Mississippi",3007,6117
"Verona city, Mississippi",3006,6118
"Dresden town, Tennessee",3005,6119
"Midway city, Florida",3004,6120
"St. Clair borough, Pennsylvania",3004,6121
"La Fayette city, Alabama",3003,6122
"Delmar town, Maryland",3003,6123
"Lakewood village, New York",3002,6124
"Mount Morris village, Illinois",2998,6125
"Onawa city, Iowa",2998,6126
"Malvern borough, Pennsylvania",2998,6127
"Iowa town, Louisiana",2996,6128
"Hillsboro city, Kansas",2993,6129
"Ava city, Missouri",2993,6130
"Spring Lake borough, New Jersey",2993,6131
"Frostproof city, Florida",2992,6132
"South Pittsburg city, Tennessee",2992,6133
"Paddock Lake village, Wisconsin",2992,6134
"McCall city, Idaho",2991,6135
"Ford City borough, Pennsylvania",2991,6136
"Tybee Island city, Georgia",2990,6137
"Mount Morris village, New York",2986,6138
"Follansbee city, West Virginia",2986,6139
"Perham city, Minnesota",2985,6140
"Clyde Hill city, Washington",2984,6141
"Hanceville city, Alabama",2982,6142
"Staples city, Minnesota",2981,6143
"Clayton town, New Mexico",2980,6144
"Woodlynne borough, New Jersey",2978,6145
"New Bremen village, Ohio",2978,6146
"Smithsburg town, Maryland",2975,6147
"Lake Orion village, Michigan",2973,6148
"Pembroke town, North Carolina",2973,6149
"Park Hills city, Kentucky",2970,6150
"Keego Harbor city, Michigan",2970,6151
"Medina city, Washington",2969,6152
"West Burlington city, Iowa",2968,6153
"Weed city, California",2967,6154
"Baltimore village, Ohio",2966,6155
"Philippi city, West Virginia",2966,6156
"Pendleton town, South Carolina",2964,6157
"Zillah city, Washington",2964,6158
"Pleasant Valley city, Missouri",2961,6159
"Avondale Estates city, Georgia",2960,6160
"Nash city, Texas",2960,6161
"Venus town, Texas",2960,6162
"Yadkinville town, North Carolina",2959,6163
"Maybrook village, New York",2958,6164
"Sylvania city, Georgia",2956,6165
"Montgomery city, Minnesota",2956,6166
"Chaffee city, Missouri",2955,6167
"Fairmount town, Indiana",2954,6168
"Hardeeville city, South Carolina",2952,6169
"Kewaunee city, Wisconsin",2952,6170
"Hamilton city, Illinois",2951,6171
"East Greenville borough, Pennsylvania",2951,6172
"Fairfield city, Texas",2951,6173
"Brownstown town, Indiana",2947,6174
"Milaca city, Minnesota",2946,6175
"Brighton city, Alabama",2945,6176
"Lawnside borough, New Jersey",2945,6177
"Hartville village, Ohio",2944,6178
"Osage City city, Kansas",2943,6179
"Balcones Heights city, Texas",2941,6180
"Chincoteague town, Virginia",2941,6181
"Hayti city, Missouri",2939,6182
"Kingwood city, West Virginia",2939,6183
"Hanover city, Minnesota",2938,6184
"Riverside city, Missouri",2937,6185
"Rural Hall town, North Carolina",2937,6186
"Big Lake city, Texas",2936,6187
"Eutaw town, Alabama",2934,6188
"Central City city, Nebraska",2934,6189
"Lake Success village, New York",2934,6190
"Yountville city, California",2933,6191
"Gladwin city, Michigan",2933,6192
"Silt town, Colorado",2930,6193
"Bowling Green city, Florida",2930,6194
"Leonardtown town, Maryland",2930,6195
"Granite Quarry town, North Carolina",2930,6196
"Locust city, North Carolina",2930,6197
"Volo village, Illinois",2929,6198
"Pittsboro town, Indiana",2928,6199
"Norton city, Kansas",2928,6200
"Whispering Pines village, North Carolina",2928,6201
"Arcadia city, Wisconsin",2925,6202
"Kulpmont borough, Pennsylvania",2924,6203
"Lucedale city, Mississippi",2923,6204
"Minden city, Nebraska",2923,6205
"North Kingsville village, Ohio",2923,6206
"Eunice city, New Mexico",2922,6207
"Arcadia town, Louisiana",2919,6208
"Delhi town, Louisiana",2919,6209
"Towanda borough, Pennsylvania",2919,6210
"Clayton town, Delaware",2918,6211
"Arcola city, Illinois",2916,6212
"Bicknell city, Indiana",2915,6213
"New Cordell city, Oklahoma",2915,6214
"Lake Delton village, Wisconsin",2914,6215
"Lena village, Illinois",2912,6216
"Belle Meade city, Tennessee",2912,6217
"Knoxville city, Illinois",2911,6218
"Ithaca city, Michigan",2910,6219
"Abbeville city, Georgia",2908,6220
"Williamstown city, West Virginia",2908,6221
"Drumright city, Oklahoma",2907,6222
"Vicksburg village, Michigan",2906,6223
"David City city, Nebraska",2906,6224
"Shady Cove city, Oregon",2904,6225
"Amery city, Wisconsin",2902,6226
"Alexander city, Arkansas",2901,6227
"Windsor city, Missouri",2901,6228
"Blanchard town, Louisiana",2899,6229
"Milford city, Iowa",2898,6230
"Bald Knob city, Arkansas",2897,6231
"Sunset town, Louisiana",2897,6232
"Granite Falls city, Minnesota",2897,6233
"Winner city, South Dakota",2897,6234
"Leesburg city, Georgia",2896,6235
"Bethel Acres town, Oklahoma",2895,6236
"Combes town, Texas",2895,6237
"Poplarville city, Mississippi",2894,6238
"Delphi city, Indiana",2893,6239
"Ferrysburg city, Michigan",2892,6240
"Fayetteville town, West Virginia",2892,6241
"Oconto Falls city, Wisconsin",2891,6242
"Refugio town, Texas",2890,6243
"Davenport city, Florida",2888,6244
"Chandler town, Indiana",2887,6245
"Seaside Heights borough, New Jersey",2887,6246
"Seven Fields borough, Pennsylvania",2887,6247
"Oostburg village, Wisconsin",2887,6248
"Fowlerville village, Michigan",2886,6249
"Afton city, Minnesota",2886,6250
"McLeansboro city, Illinois",2883,6251
"Wellton town, Arizona",2882,6252
"Raymond city, Washington",2882,6253
"Tama city, Iowa",2877,6254
"Kenhorst borough, Pennsylvania",2877,6255
"Georgetown town, Indiana",2876,6256
"Rugby city, North Dakota",2876,6257
"La Grange town, North Carolina",2873,6258
"Santa Rosa town, Texas",2873,6259
"Graymoor-Devondale city, Kentucky",2870,6260
"Mountain Iron city, Minnesota",2869,6261
"Cut Bank city, Montana",2869,6262
"Indian Hills city, Kentucky",2868,6263
"Caledonia city, Minnesota",2868,6264
"Akron village, New York",2868,6265
"Whitestown town, Indiana",2867,6266
"Double Oak town, Texas",2867,6267
"Andrews town, South Carolina",2861,6268
"East Dundee village, Illinois",2860,6269
"Crandall city, Texas",2858,6270
"Hamburg city, Arkansas",2857,6271
"Riverview village, Missouri",2856,6272
"West Grove borough, Pennsylvania",2854,6273
"Many town, Louisiana",2853,6274
"Springfield city, Georgia",2852,6275
"Schulenburg city, Texas",2852,6276
"Clarion city, Iowa",2850,6277
"Monterey town, Tennessee",2850,6278
"Newton city, Illinois",2849,6279
"Sandstone city, Minnesota",2849,6280
"North Catasauqua borough, Pennsylvania",2849,6281
"Santa Rosa city, New Mexico",2848,6282
"Montrose city, Minnesota",2847,6283
"Norway city, Michigan",2845,6284
"Luzerne borough, Pennsylvania",2845,6285
"Madison city, Florida",2843,6286
"Wilburton city, Oklahoma",2843,6287
"Tularosa village, New Mexico",2842,6288
"Heyworth village, Illinois",2841,6289
"Bedford borough, Pennsylvania",2841,6290
"Lindsay city, Oklahoma",2840,6291
"Pottsville city, Arkansas",2838,6292
"Missouri Valley city, Iowa",2838,6293
"Superior town, Arizona",2837,6294
"Cazenovia village, New York",2835,6295
"Murfreesboro town, North Carolina",2835,6296
"Montgomery City city, Missouri",2834,6297
"Waynesville village, Ohio",2834,6298
"Florida village, New York",2833,6299
"Southport city, North Carolina",2833,6300
"Watkinsville city, Georgia",2832,6301
"Cairo city, Illinois",2831,6302
"Perkins city, Oklahoma",2831,6303
"Alturas city, California",2827,6304
"Rogers City city, Michigan",2827,6305
"Wrightstown village, Wisconsin",2827,6306
"Snowmass Village town, Colorado",2826,6307
"Bean Station city, Tennessee",2826,6308
"England city, Arkansas",2825,6309
"Marquette Heights city, Illinois",2824,6310
"Chevy Chase town, Maryland",2824,6311
"Cajah's Mountain town, North Carolina",2823,6312
"Needville city, Texas",2823,6313
"Hillsboro city, Missouri",2821,6314
"Lisbon village, Ohio",2821,6315
"Freer city, Texas",2818,6316
"Ashland borough, Pennsylvania",2817,6317
"South Padre Island town, Texas",2816,6318
"Walworth village, Wisconsin",2816,6319
"Ruidoso Downs city, New Mexico",2815,6320
"Emmitsburg town, Maryland",2814,6321
"Juneau city, Wisconsin",2814,6322
"Coxsackie village, New York",2813,6323
"Eufaula city, Oklahoma",2813,6324
"Dandridge town, Tennessee",2812,6325
"New Hope city, Alabama",2810,6326
"El Paso city, Illinois",2810,6327
"Syracuse town, Indiana",2810,6328
"Womelsdorf borough, Pennsylvania",2810,6329
"Strasburg borough, Pennsylvania",2809,6330
"East Tawas city, Michigan",2808,6331
"Hampton town, South Carolina",2808,6332
"Wentworth town, North Carolina",2807,6333
"West city, Texas",2807,6334
"Burns city, Oregon",2806,6335
"Minster village, Ohio",2805,6336
"Abernathy city, Texas",2805,6337
"Colfax city, Washington",2805,6338
"Wellsburg city, West Virginia",2805,6339
"Dallas borough, Pennsylvania",2804,6340
"Wilton city, Iowa",2802,6341
"Mountville borough, Pennsylvania",2802,6342
"Aspinwall borough, Pennsylvania",2801,6343
"Luverne city, Alabama",2800,6344
"La Center city, Washington",2800,6345
"Webster County unified government, Georgia",2799,6346
"Nicholls city, Georgia",2798,6347
"Sibley city, Iowa",2798,6348
"Alamo town, Georgia",2797,6349
"Lordsburg city, New Mexico",2797,6350
"Cache city, Oklahoma",2796,6351
"Bonifay city, Florida",2793,6352
"Harveys Lake borough, Pennsylvania",2791,6353
"Electra city, Texas",2791,6354
"Ashley borough, Pennsylvania",2790,6355
"Parowan city, Utah",2790,6356
"Girard city, Kansas",2789,6357
"Voorheesville village, New York",2789,6358
"Healdton city, Oklahoma",2788,6359
"Oak Point city, Texas",2786,6360
"Pearisburg town, Virginia",2786,6361
"Jacksonville city, Oregon",2785,6362
"McCormick town, South Carolina",2783,6363
"Wendell city, Idaho",2782,6364
"Rising Sun town, Maryland",2781,6365
"Byrnes Mill city, Missouri",2781,6366
"Hoxie city, Arkansas",2780,6367
"Chatfield city, Minnesota",2779,6368
"Riverton borough, New Jersey",2779,6369
"Centreville city, Alabama",2778,6370
"Carrabelle city, Florida",2778,6371
"Greenfield city, Minnesota",2777,6372
